Prev_LAT,Prev_LON,Prev_WIND,Prev_PRES
11.2,73.9,25.0,1002.0
11.2925,73.7425,27.0,1001.0
11.4,73.6,30.0,1000.0
11.515,73.4575,30.0,1000.0
11.6,73.3,30.0,1000.0
11.63,73.0925,30.0,1000.0
11.6,72.9,30.0,1000.0
11.518,72.928,32.0,998.0
11.4333,72.9667,35.0,997.0
11.3614,72.9471,35.0,997.0
11.3,73.0,35.0,997.0
11.2026,72.9138,35.0,997.0
11.15,73.1,35.0,997.0
11.2062,73.1512,35.0,997.0
11.3,73.15,35.0,997.0
11.3538,73.1538,37.0,995.0
11.4,73.15,40.0,994.0
11.4425,73.1575,40.0,994.0
11.5,73.15,40.0,994.0
11.5962,73.1113,40.0,994.0
11.7,73.05,40.0,994.0
11.7788,72.9787,42.0,992.0
11.85,72.9,45.0,991.0
12.4288,72.2988,45.0,991.0
12.7143,72.0714,45.0,991.0
12.7634,72.2749,40.0,994.0
12.76,72.62,35.0,997.0
12.5425,73.0001,35.0,997.0
12.4,73.1,35.0,997.0
12.4901,73.3149,35.0,997.0
12.7,73.5,35.0,997.0
12.935,73.5525,40.0,994.0
13.2,73.5,45.0,991.0
13.4575,73.3726,45.0,991.0
13.7,73.2,45.0,991.0
13.9075,73.0574,45.0,991.0
14.1,72.9,45.0,991.0
14.2774,72.7298,42.0,992.0
14.5,72.5,40.0,994.0
14.8318,71.8795,37.0,995.0
15.32,71.08,35.0,997.0
15.9033,70.4656,32.0,998.0
14.8,89.7,15.0,1006.0
14.8725,90.0273,15.0,1006.0
14.9,90.4,15.0,1006.0
14.87,90.8428,15.0,1006.0
14.9,91.3,15.0,1006.0
15.0976,91.7747,17.0,1005.0
15.4,92.1,20.0,1004.0
15.7349,92.0954,22.0,1003.0
16.1,92.0,25.0,1002.0
16.45,92.1222,25.0,1002.0
16.8,92.2,25.0,1002.0
17.165,92.0676,25.0,1002.0
17.5,91.8,25.0,1002.0
17.636,91.4841,25.0,1002.0
17.8333,91.0667,25.0,1002.0
17.8399,90.8197,27.0,1001.0
17.8,90.65,30.0,1000.0
18.0212,90.2637,32.0,998.0
18.25,90.15,35.0,997.0
18.2887,89.775,35.0,997.0
18.35,89.65,35.0,997.0
18.4,89.2787,35.0,997.0
18.45,88.9,35.0,997.0
18.5338,88.7163,35.0,997.0
18.55,88.6,35.0,997.0
18.6025,88.4053,35.0,997.0
18.45,88.55,35.0,997.0
18.6199,88.6772,37.0,997.0
18.85,88.85,40.0,997.0
18.8788,89.5928,42.0,994.0
18.9,90.1,45.0,991.0
19.0674,90.2999,50.0,987.0
19.5,90.75,55.0,984.0
19.3885,91.273,60.0,980.0
19.8667,91.8333,65.0,976.0
20.0296,92.4046,65.0,976.0
20.1,93.1,65.0,976.0
20.4551,93.8624,60.0,980.0
20.9,94.7,55.0,984.0
21.353,95.5118,42.0,992.0
16.3,69.0,20.0,1004.0
16.4733,68.7501,20.0,1004.0
16.86,68.32,20.0,1004.0
17.2615,67.8358,22.0,1003.0
17.65,67.65,25.0,1002.0
18.0749,67.3061,27.0,1001.0
18.5,67.0,30.0,1000.0
18.925,66.8963,30.0,1000.0
19.1,66.8,30.0,1000.0
19.5287,66.4775,30.0,1001.0
19.95,66.45,30.0,1002.0
20.1075,66.4812,32.0,999.0
20.25,66.55,35.0,997.0
20.3787,66.6213,35.0,997.0
21.0,66.7,35.0,997.0
21.1212,66.7713,35.0,997.0
21.5,67.1,35.0,997.0
21.65,67.1925,35.0,997.0
22.05,67.55,35.0,997.0
22.1863,67.675,32.0,998.0
22.55,68.05,30.0,1000.0
22.6288,68.4262,27.0,1001.0
22.95,68.5,25.0,1002.0
23.0575,68.4801,27.0,1001.0
23.15,68.4,30.0,1000.0
23.2013,68.3075,30.0,1000.0
